review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
it's the best app i,5,2025-05-02,CBE,Google Play,POSITIVE,1.0,best app,UI/UX
not bad not good,1,2025-05-02,CBE,Google Play,NEUTRAL,-2.775557561562892e-17,bad good,Other
its very nice,5,2025-05-02,CBE,Google Play,POSITIVE,0.78,nice,Other
do not work this week,3,2025-04-30,CBE,Google Play,NEUTRAL,0.0,work week,Other
It crashes frequently,4,2025-04-30,CBE,Google Play,NEUTRAL,0.1,crash frequently,Other
the best,5,2025-04-28,CBE,Google Play,POSITIVE,1.0,best,Other
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,NEUTRAL,0.0,simply describe app making work easier,UI/UX
goid,5,2025-04-28,CBE,Google Play,NEUTRAL,0.0,goid,Other
best appearance,5,2025-04-27,CBE,Google Play,POSITIVE,1.0,best appearance,Other
it's very good 👍 app,5,2025-04-27,CBE,Google Play,POSITIVE,0.91,good app,UI/UX
I need support you,5,2025-04-27,CBE,Google Play,NEUTRAL,0.0,need support,Customer Support
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,NEGATIVE,-1.0,worst mobile banking ever seen life,Other
super,5,2025-04-26,CBE,Google Play,POSITIVE,0.3333333333333333,super,Other
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,NEUTRAL,0.0,,Other
i like the app,5,2025-04-26,CBE,Google Play,NEUTRAL,0.0,like app,UI/UX
the Best,1,2025-04-26,CBE,Google Play,POSITIVE,1.0,best,Other
to other bank is bad,1,2025-04-25,CBE,Google Play,NEGATIVE,-0.4124999999999999,bank bad,Other
tank's,5,2025-04-25,CBE,Google Play,NEUTRAL,0.0,tank,Other
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,POSITIVE,0.3999999999999999,good add feature like bank statement showing,Features
it is so nice,5,2025-04-24,CBE,Google Play,POSITIVE,0.6,nice,Other
Very Good👍,5,2025-04-21,CBE,Google Play,POSITIVE,0.2,,Other
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,NEUTRAL,0.0466666666666666,first frequent experience cbe app failure suspending payment air day zero explanation deducting sender account without depositing receiver act another fatal error banking company whole app though corporation without consent corresponding corporation,UI/UX
"wow, amazing app",5,2025-04-21,CBE,Google Play,POSITIVE,0.35,wow amazing app,UI/UX
use ful,5,2025-04-21,CBE,Google Play,NEUTRAL,0.0,use ful,Other
Great app,5,2025-04-21,CBE,Google Play,POSITIVE,0.8,great app,UI/UX
well app,5,2025-04-20,CBE,Google Play,NEUTRAL,0.0,well app,UI/UX
Actually it is inactive,4,2025-04-19,CBE,Google Play,NEUTRAL,0.0,actually inactive,Other
"slow, only one account is used",2,2025-04-19,CBE,Google Play,NEGATIVE,-0.15,slow one account used,UI/UX
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0,always cbe leading commercial,Other
i like it,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0,like,Other
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,NEUTRAL,0.0,removing screenshot feature,Features
nice apps where network is good in connection,5,2025-04-18,CBE,Google Play,POSITIVE,0.6499999999999999,nice apps network good connection,Other
Thank you!!!,5,2025-04-18,CBE,Google Play,NEUTRAL,0.0,thank,Other
i can't take screenshot,1,2025-04-18,CBE,Google Play,NEUTRAL,0.0,ca take screenshot,Other
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,CBE,Google Play,POSITIVE,0.2847222222222222,every update made system better better march update allowing u screenshot guy understand much really quick significant thing add extra step u make process draw back,UI/UX
perfectly special,5,2025-04-18,CBE,Google Play,POSITIVE,0.3571428571428571,perfectly special,Other
Fast and Reliable,5,2025-04-18,CBE,Google Play,POSITIVE,0.2,fast reliable,Other
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,CBE,Google Play,POSITIVE,1.0,best application ever seen ethiopia banking industry,Other
great app!!!,5,2025-04-17,CBE,Google Play,POSITIVE,1.0,great app,UI/UX
because sometimes it doesn't working it load too much,3,2025-04-17,CBE,Google Play,POSITIVE,0.2,sometimes working load much,Other
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,CBE,Google Play,POSITIVE,0.7333333333333334,absolutely best app work flawlessly anytime anywhere,UI/UX
very nice app ever!!!,5,2025-04-16,CBE,Google Play,POSITIVE,1.0,nice app ever,UI/UX
the best app,5,2025-04-16,CBE,Google Play,POSITIVE,1.0,best app,UI/UX
Biometric security for mobile banking is not available,5,2025-04-16,CBE,Google Play,NEGATIVE,-0.2,biometric security mobile banking available,Other
great,5,2025-04-15,CBE,Google Play,POSITIVE,0.8,great,Other
Nice service,5,2025-04-15,CBE,Google Play,POSITIVE,0.6,nice service,Customer Support
great app,5,2025-04-15,CBE,Google Play,POSITIVE,0.8,great app,UI/UX
it's special apps,5,2025-04-15,CBE,Google Play,POSITIVE,0.3571428571428571,special apps,Other
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,CBE,Google Play,POSITIVE,0.5,updated version app take time download receipt,UI/UX
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,CBE,Google Play,NEUTRAL,0.0,ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው,Other
Good 🔥,5,2025-04-14,CBE,Google Play,POSITIVE,0.7,good,Other
very interesting app i am using every day fantastic,5,2025-04-14,CBE,Google Play,POSITIVE,0.525,interesting app using every day fantastic,UI/UX
lebaa bank,5,2025-04-14,CBE,Google Play,NEUTRAL,0.0,lebaa bank,Other
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,NEGATIVE,-0.125,ca bank interoperable qr code,Other
OK,5,2025-04-13,CBE,Google Play,POSITIVE,0.5,ok,Other
grateful app,5,2025-04-13,CBE,Google Play,NEUTRAL,0.0,grateful app,UI/UX
100% ❤️❤️❤️🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5,2025-04-13,CBE,Google Play,NEUTRAL,0.0,,Other
everthing wellbeok,3,2025-04-13,CBE,Google Play,NEUTRAL,0.0,everthing wellbeok,Other
